district,city,url
Santarém,Abrantes,www.cm-abrantes.pt
Aveiro,Águeda,www.cm-agueda.pt
Guarda,Aguiar da Beira,www.cm-aguiardabeira.pt
Évora,Alandroal,www.cm-alandroal.pt
Aveiro,Albergaria-A-Velha,www.cm-albergaria.pt
Faro,Albufeira,www.cm-albufeira.pt
Setúbal,Alcácer do Sal,www.cm-alcacerdosal.pt
Santarém,Alcanena,www.cm-alcanena.pt
Leiria,Alcobaça,www.cm-alcobaca.pt
Setúbal,Alcochete,www.cm-alcochete.pt
Faro,Alcoutim,www.cm-alcoutim.pt
Lisboa,Alenquer,www.cm-alenquer.pt
Bragança,Alfândega da Fé,www.cm-alfandegadafe.pt
Vila Real,Alijó,www.cm-alijo.pt
Faro,Aljezur,www.cm-aljezur.pt
Beja,Aljustrel,www.mun-aljustrel.pt
Setúbal,Almada,www.m-almada.pt
Guarda,Almeida,www.cm-almeida.pt
Santarém,Almeirim,www.cm-almeirim.pt
Beja,Almodôvar,www.cm-almodovar.pt
Santarém,Alpiarça,www.cm-alpiarca.pt
Portalegre,Alter do Chão,www.cm-alter-chao.pt
Leiria,Alvaiázere,www.cm-alvaiazere.pt
Beja,Alvito,www.cm-alvito.pt
Lisboa,Amadora,www.cm-amadora.pt
Porto,Amarante,www.cm-amarante.pt
Braga,Amares,www.cm-amares.pt
Aveiro,Anadia,www.cm-anadia.pt
Açores,Angra do Heroísmo,www.angradoheroismo.pt
Leiria,Ansião,www.cm-ansiao.pt
Viana do Castelo,Arcos de Valdevez,www.cmav.pt
Coimbra,Arganil,www.cm-arganil.pt
Viseu,Armamar,www.cm-armamar.pt
Aveiro,Arouca,www.cm-arouca.pt
Évora,Arraiolos,www.cm-arraiolos.pt
Portalegre,Arronches,www.cm-arronches.pt
Lisboa,Arruda dos Vinhos,www.cm-arruda.pt
Aveiro,Aveiro,www.cm-aveiro.pt
Portalegre,Avis,www.cm-avis.pt
Lisboa,Azambuja,www.cm-azambuja.pt
Porto,Baião,www.cm-baiao.pt
Braga,Barcelos,www.cm-barcelos.pt
Beja,Barrancos,www.cm-barrancos.pt
Setúbal,Barreiro,www.cm-barreiro.pt
Leiria,Batalha,www.cm-batalha.pt
Beja,Beja,www.cm-beja.pt
Castelo Branco,Belmonte,www.cm-belmonte.pt
Santarém,Benavente,www.cm-benavente.pt
